2025/09/01 19:26:58.602, 0, NVIDIA GeForce RTX 3080, 16 %, 16 %, 1952 MiB, 10240 MiB
2025/09/01 19:26:58.866, 0, NVIDIA GeForce RTX 3080, 10 %, 14 %, 1952 MiB, 10240 MiB
2025/09/01 19:26:59.134, 0, NVIDIA GeForce RTX 3080, 2 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:26:59.402, 0, NVIDIA GeForce RTX 3080, 1 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:26:59.668, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:26:59.934, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:00.217, 0, NVIDIA GeForce RTX 3080, 1 %, 13 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:00.492, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:00.761, 0, NVIDIA GeForce RTX 3080, 1 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:01.025, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:01.285, 0, NVIDIA GeForce RTX 3080, 1 %, 13 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:01.537, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:01.789, 0, NVIDIA GeForce RTX 3080, 1 %, 13 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:02.048, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:02.314, 0, NVIDIA GeForce RTX 3080, 2 %, 13 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:02.579, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:02.842, 0, NVIDIA GeForce RTX 3080, 4 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:03.105, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:03.371, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:03.631, 0, NVIDIA GeForce RTX 3080, 1 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:03.893, 0, NVIDIA GeForce RTX 3080, 1 %, 13 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:04.152, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:04.413, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:04.716, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:04.978, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:05.241, 0, NVIDIA GeForce RTX 3080, 1 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:05.504, 0, NVIDIA GeForce RTX 3080, 1 %, 13 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:05.767, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:06.029, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
2025/09/01 19:27:06.292, 0, NVIDIA GeForce RTX 3080, 0 %, 12 %, 1952 MiB, 10240 MiB
